rank,id,lon,lat,area,source,
230,5040591050,141.9145833,-34.11458333,249850.18,hydrosheds,
231,1040695300,14.52291667,13.08125,249808.12,hydrosheds,
232,5040491510,137.2104167,-28.42291667,247816.1,hydrosheds,
233,2040416550,30.52708333,50.54375,245633.6,hydrosheds,
234,8040018120,-93.95208333,63.92708333,244858.3,hydrosheds,
235,2040289120,43.98958333,56.33541667,244308.24,hydrosheds,
236,5040524870,146.31875,-29.95208333,243195.86,hydrosheds,
237,7040741760,-91.66458333,30.98958333,239195.08,hydrosheds,
238,6040334790,-42.83958333,-5.035416667,238319.6,hydrosheds,
239,3040369320,90.12291667,61.58125,237673.4,hydrosheds,
240,2040085510,49.26875,23.25208333,237160.88,hydrosheds,
241,4120900,-104.4727,48.125,237132.6,grdc,
242,2040288980,43.98541667,56.33958333,235213.96,hydrosheds,
243,3040009670,136.5895833,71.52291667,233392.94,hydrosheds,
244,3040441450,112.58125,59.48125,233372.92,hydrosheds,
245,4040136170,127.59375,50.24791667,232076.46,hydrosheds,
246,4041043580,102.20625,20.05625,231704.04,hydrosheds,
247,7040016260,-122.96875,49.15625,230830.72,hydrosheds,
248,1041145090,42.58541667,-0.060416667,230634.3,hydrosheds,
249,6040476790,-50.21041667,-9.84375,228748.46,hydrosheds,
250,5040455970,138.9270833,-26.83541667,227236.28,hydrosheds,
251,6040870370,-60.58125,-31.72291667,225844.4,hydrosheds,
252,6040709810,-51.03958333,-20.16875,223581.46,hydrosheds,
253,1041115400,43.73541667,1.21875,221362.62,hydrosheds,
254,2040816320,47.44375,31.01041667,221326.96,hydrosheds,
255,3040008610,119.7979167,73.00625,217722.92,hydrosheds,
256,4040223260,74.59791667,46.38541667,216797.84,hydrosheds,
257,1040020570,8.91875,-1.00625,215217.48,hydrosheds,
258,1040843040,31.56875,9.385416667,214881.24,hydrosheds,
259,1041139430,42.76458333,0.177083333,214441.44,hydrosheds,
260,7040392520,-83.82708333,45.73125,214026.6,hydrosheds,
261,1040040230,11.73541667,18.75208333,211532.02,hydrosheds,
262,4040007410,117.71875,38.98958333,211331.08,hydrosheds,
263,2040539930,18.92291667,45.55208333,211258.24,hydrosheds,
264,2040067740,51.64375,46.91041667,210581.24,hydrosheds,
265,2040085520,52.97708333,21.40208333,210104.68,hydrosheds,
266,3040411580,120.6770833,60.38125,208375.96,hydrosheds,
267,7040607990,-110.9020833,37.18541667,207533.26,hydrosheds,
268,1040526810,33.97708333,17.67708333,205095.16,hydrosheds,
269,2040085530,61.75208333,31.48958333,204445.06,hydrosheds,
270,6040595200,-43.90208333,-14.59791667,204214.2,hydrosheds,
271,4040416430,86.19791667,41.03125,203047.68,hydrosheds,
272,4040648320,72.23958333,33.90208333,201574.88,hydrosheds,
273,4040095270,121.4895833,53.33541667,200833.38,hydrosheds,
274,3040441670,112.5770833,59.47291667,197263.98,hydrosheds,
275,4040225300,74.43541667,46.31875,196700.54,hydrosheds,
276,8040219290,-139.41875,63.28958333,196663.34,hydrosheds,
277,4040169400,135.0520833,48.46458333,195730.48,hydrosheds,
278,2040026550,18.93541667,54.31041667,192632.1,hydrosheds,
279,4040006570,121.83125,40.96458333,191233.88,hydrosheds,
280,6040913910,-66.83958333,-36.29375,189763.46,hydrosheds,
281,2040070050,49.39791667,39.31458333,188377.66,hydrosheds,
282,4040223160,74.60625,46.38958333,185990.68,hydrosheds,
283,1041629370,23.63541667,-29.06875,185499.6,hydrosheds,
284,4040578830,103.3604167,36.11875,184333.26,hydrosheds,
285,7040392650,-83.82708333,45.72708333,184283.08,hydrosheds,
286,1040760290,4.122916667,11.38541667,182447.06,hydrosheds,
287,1040009450,39.35208333,-7.772916667,177136.24,hydrosheds,
288,1040040240,16.18958333,-18.85208333,174242,hydrosheds,
289,7040388740,-116.7895833,45.85208333,173889.98,hydrosheds,
290,3040012270,175.20625,64.71875,172110.96,hydrosheds,
291,4040694190,119.80625,32.31458333,172079.42,hydrosheds,
292,HMS00105,18.160035,47.745075,171624.13,hms,
293,3040005440,87.15208333,73.85625,169628.74,hydrosheds,
294,1041479650,20.78541667,-18.02291667,169166.18,hydrosheds,
295,2040439790,42.63958333,49.58125,168577.06,hydrosheds,
296,5204106,143.492,-34.665,166000,grdc,
297,4040748300,114.2770833,30.56458333,165306.1,hydrosheds,
298,2040023010,4.152083333,51.96041667,163008.46,hydrosheds,
299,8040183070,-125.60625,64.89791667,162692.56,hydrosheds,
300,4040773260,116.2354167,29.76041667,162424.28,hydrosheds,
301,1041472390,35.31875,-17.69375,161058.34,hydrosheds,
302,6335020,6.395395,51.756918,159300,grdc,
303,1040040250,23.58541667,29.65208333,158695.82,hydrosheds,
304,1041438780,28.91458333,-15.94375,156563.16,hydrosheds,
305,1040010030,40.39791667,-10.51041667,155316.4,hydrosheds,
306,1041473950,25.26041667,-17.79375,155286.28,hydrosheds,
307,1041548260,29.36458333,-22.19375,155088.56,hydrosheds,
308,6040004870,-58.59375,6.447916667,154860.56,hydrosheds,
309,2040548500,20.28125,45.13958333,154073.14,hydrosheds,
310,1040873640,-0.985416667,8.65625,154022.88,hydrosheds,
311,6040372330,-42.85625,-6.252083333,152536.14,hydrosheds,
312,6040134450,-67.71458333,4.077083333,151606.92,hydrosheds,
313,3040002680,80.00208333,67.11458333,150289.18,hydrosheds,
314,1040019420,13.16041667,-9.33125,150086.56,hydrosheds,
315,4152202,-114.4205,32.7609,149831.5,grdc,
316,1041431480,30.41875,-15.61875,149540.06,hydrosheds,
317,1992900,35.13,-16.55,149500,grdc,
318,1040040260,36.14375,3.372916667,149328.6,hydrosheds,
319,4122603,-98.282,40.8745,149313.5,grdc,
320,6040040460,-64.72708333,-29.96458333,149003.04,hydrosheds,
